Attribute/PoisonNoColon=<c val="{#Colors/poison}">剧毒</c>
Petal/Attribute/AttackRange=<c val="{#Colors/generic}">攻击距离：</c>+{0:tooltip}
Petal/Attribute/Spawn={#Petal/Attribute/Spawn{0:1orN}}
Petal/Attribute/Spawn1=<c val="{#Colors/generic}">生成：</c>{#Mobs/{1:base}/Name}（{#Rarities/{1:rarity}/NameColored}）
Petal/Attribute/SpawnN=<c val="{#Colors/generic}">生成：</c>{0}个{#Mobs/{1:base}/Name}（{#Rarities/{1:rarity}/NameColored}）
Petal/Attribute/Luck=<c val="{#Colors/generic}">运气：</c>+{0:tooltip}
Petal/Attribute/MovementSpeed=<c val="{#Colors/generic}">移动速度：</c>+{0:perc}%
Petal/Attribute/HealBonus=<c val="{#Colors/heal}">治疗增益：</c>+{0:perc}%
Petal/Attribute/MobAggroRange=<c val="{#Colors/generic}">生物仇恨距离：</c>-{0:perc}%
Petal/Attribute/FlowerKnockback=<c val="{#Colors/generic}">花朵击退：</c>+{0:tooltip}
Petal/Attribute/SelfDamage=<c val="{#Colors/damage}">自我伤害：</c>{0:tooltip}
Petal/Attribute/ArmorDebuff=<c val="{#Colors/armor}">护甲减益：</c>{0:tooltip}
Petal/Attribute/FlowerArmor=<c val="{#Colors/armor}">花朵护甲：</c>{0:tooltip}
Petal/Attribute/FlowerEvasion=<c val="{#Colors/generic}">花朵闪避：</c>+{0:perc}%
Petal/Attribute/Charges=<c val="{#Colors/generic}">充能：</c>{0:tooltip}
Petal/Attribute/OverhealConversion=<c val="{#Colors/generic}">过量治疗转化：</c>+{0:perc}%
Petal/Attribute/AffectedByMagnets=<c val="{#Colors/generic}">受磁铁干扰</c>
Petal/Attribute/CanFindSquares=<c val="{#Colors/generic}">可以找到不属于此的生物</c>
Petal/Attribute/CollisionDamageResistance=<c val="{#Colors/generic}">碰撞伤害抗性：</c>+{0:perc}%
Petal/Attribute/Evasion=<c val="{#Colors/generic}">闪避：</c>{0:perc}%
Petal/Attribute/Health4=<c val="{#Colors/health}">耐久：</c>{0:tooltip}/{1:tooltip}/{2:tooltip}/{3:tooltip}
Petal/Attribute/Damage4=<c val="{#Colors/damage}">伤害：</c>{0:tooltip}/{1:tooltip}/{2:tooltip}/{3:tooltip}
Petal/Attribute/ExtraPoison=<c val="{#Colors/poison}">额外剧毒：</c>{0:tooltip}秒
Petal/Attribute/Interval=<c val="{#Colors/generic}">间隔：</c>{0:tooltipTime}
Petal/Attribute/CorruptsFlowersAround=<c val="{#Colors/generic}">腐化你周围的花朵。</c>
Petal/Attribute/CannotBeUnequipped=<c val="{#Colors/generic}">无法卸下。</c>
Petal/Attribute/PetalLostOnDeath=<c val="{#Colors/danger}">死亡时丢失。</c>
Petal/Attribute/CannotBeUnequippedWhileAlive=<c val="{#Colors/generic}">无法在存活时卸下。</c>
Petal/Attribute/Mana=<c val="{#Colors/mana}">魔力：</c>{0:tooltip}
Petal/Attribute/ManaPerSecond=<c val="{#Colors/mana}">魔力：</c>{0:tooltip}/秒
Petal/Attribute/BaseMaxMana=<c val="{#Colors/mana}">基础魔力上限：</c>{0:tooltip}
Petal/Attribute/MaxMana=<c val="{#Colors/mana}">魔力上限：</c>+{0:tooltip}
Petal/Attribute/AllowsFindingMagicPetals=<c val="{#Colors/mana}">允许寻找魔法花瓣。</c>
Petal/Attribute/DamageAbsorptionPerMana=<c val="{#Colors/generic}">伤害吸收：</c>{0:tooltip}/<c val="{#Colors/mana}">魔力</c>
Petal/Attribute/LightningPerMana=<c val="{#Colors/lightning}">闪电：</c>{0:tooltip}/<c val="{#Colors/mana}">魔力</c>
Petal/Attribute/SpawnManaCost=<c val="{#Colors/generic}">生成消耗：</c>{0:tooltip}<c val="{#Colors/mana}">魔力</c>
Petal/Attribute/MaintenanceManaCost=<c val="{#Colors/generic}">维持消耗：</c>{0:tooltip}<c val="{#Colors/mana}">魔力</c>/秒
